Id,LotArea,Street,SalePrice,Neighborhood,YearBuilt,OverallQual,OverallCond,KitchenQual
101,10603,Pave,205000,NWAmes,1977,6,7,Gd
102,9206,Pave,178000,SawyerW,1985,6,5,Gd
103,7018,Pave,118964,SawyerW,1979,5,5,TA
104,10402,Pave,198900,CollgCr,2009,7,5,Gd
105,7758,Pave,169500,IDOTRR,1931,7,4,TA
106,9375,Pave,250000,Somerst,2003,8,5,Gd
107,10800,Pave,100000,OldTown,1885,4,7,TA
108,6000,Pave,115000,OldTown,1948,5,5,TA
109,8500,Pave,115000,IDOTRR,1919,5,7,Fa
110,11751,Pave,190000,NWAmes,1977,6,6,TA
111,9525,Pave,136900,Edwards,1954,6,4,TA
112,7750,Pave,180000,Gilbert,2000,7,5,TA
113,9965,Pave,383970,CollgCr,2007,7,5,Ex
114,21000,Pave,217000,Crawfor,1953,6,5,Gd
115,7259,Pave,259500,Crawfor,1945,6,8,Gd
116,3230,Pave,176000,Somerst,1999,6,5,TA
117,11616,Pave,139000,Sawyer,1962,5,5,TA
118,8536,Pave,155000,Edwards,2006,5,5,TA
119,12376,Pave,320000,SawyerW,1990,7,5,Gd
120,8461,Pave,163990,CollgCr,2005,6,5,Gd
121,21453,Pave,180000,ClearCr,1969,6,5,TA
122,6060,Pave,100000,IDOTRR,1939,4,5,TA
123,9464,Pave,136000,NAmes,1958,6,7,TA
124,7892,Pave,153900,SawyerW,1993,6,5,Gd
125,17043,Pave,181000,NWAmes,1979,6,5,TA
126,6780,Pave,84500,IDOTRR,1935,6,8,TA
127,4928,Pave,128000,NPkVill,1976,6,5,TA
128,4388,Pave,87000,OldTown,1930,5,7,TA
129,7590,Pave,155000,NAmes,1966,6,5,TA
130,8973,Pave,150000,NAmes,1958,5,7,Ex
131,14200,Pave,226000,NAmes,1966,7,6,Gd
132,12224,Pave,244000,Gilbert,2000,6,5,Gd
133,7388,Pave,150750,NAmes,1959,5,6,Gd
134,6853,Pave,220000,Timber,2001,8,5,Gd
135,10335,Pave,180000,Sawyer,1968,5,6,TA
136,10400,Pave,174000,NWAmes,1970,7,6,TA
137,10355,Pave,143000,NAmes,1967,5,5,TA
138,11070,Pave,171000,Mitchel,1988,7,5,TA
139,9066,Pave,230000,CollgCr,1999,8,5,Gd
140,15426,Pave,231500,CollgCr,1997,6,5,Gd
141,10500,Pave,115000,NAmes,1971,4,5,TA
142,11645,Pave,260000,CollgCr,2005,7,5,Gd
143,8520,Pave,166000,NAmes,1952,5,4,TA
144,10335,Pave,204000,CollgCr,1999,7,5,Gd
145,9100,Pave,125000,Sawyer,1963,5,5,TA
146,2522,Pave,130000,Edwards,2004,6,5,Gd
147,6120,Pave,105000,BrkSide,1931,5,7,TA
148,9505,Pave,222500,Gilbert,2001,7,5,Gd
149,7500,Pave,141000,SawyerW,2004,7,5,Gd
150,6240,Pave,115000,BrkSide,1936,5,4,TA
151,10356,Pave,122000,CollgCr,1975,5,6,TA
152,13891,Pave,372402,NridgHt,2007,8,5,Gd
153,14803,Pave,190000,NWAmes,1971,6,5,TA
154,13500,Pave,235000,ClearCr,1960,6,7,TA
155,11340,Pave,125000,OldTown,1923,6,5,TA
156,9600,Pave,79000,Edwards,1924,6,5,TA
157,7200,Pave,109500,NAmes,1950,5,7,TA
158,12003,Pave,269500,Timber,2009,8,5,Ex
159,12552,Pave,254900,Somerst,2004,7,5,Gd
160,19378,Pave,320000,Gilbert,2005,7,5,Gd
161,11120,Pave,162500,Veenker,1984,6,6,TA
162,13688,Pave,412500,NridgHt,2003,9,5,Ex
163,12182,Pave,220000,NridgHt,2005,7,5,Gd
164,5500,Pave,103200,OldTown,1956,4,6,TA
165,5400,Pave,152000,OldTown,1926,6,7,Gd
166,10106,Pave,127500,Edwards,1940,5,7,TA
167,10708,Pave,190000,ClearCr,1955,5,5,TA
168,10562,Pave,325624,NridgHt,2007,8,5,Ex
169,8244,Pave,183500,Gilbert,2004,7,5,Gd
170,16669,Pave,228000,Timber,1981,8,6,TA
171,12358,Pave,128500,OldTown,1941,5,6,TA
172,31770,Pave,215000,NAmes,1960,6,5,TA
173,5306,Pave,239000,StoneBr,1987,7,7,Gd
174,10197,Pave,163000,NAmes,1961,6,5,TA
175,12416,Pave,184000,Timber,1986,6,5,TA
176,12615,Pave,243000,Edwards,1950,6,7,Gd
177,10029,Pave,211000,ClearCr,1988,6,5,TA
178,13650,Pave,172500,Sawyer,1958,5,5,Gd
179,17423,Pave,501837,StoneBr,2008,9,5,Ex
180,8520,Pave,100000,OldTown,1923,5,6,TA
181,2117,Pave,177000,Somerst,2000,6,5,Gd
182,7588,Pave,200100,Crawfor,1920,7,6,TA
183,9060,Pave,120000,Edwards,1957,5,6,TA
184,11426,Pave,200000,OldTown,2003,7,5,Gd
185,7438,Pave,127000,BrkSide,1908,5,8,TA
186,22950,Pave,475000,OldTown,1892,10,9,Ex
187,9947,Pave,173000,Mitchel,1990,7,5,Gd
188,10410,Pave,135000,OldTown,1916,5,7,TA
189,7018,Pave,153337,SawyerW,1979,5,5,TA
190,4923,Pave,286000,StoneBr,2001,8,5,Ex
191,10570,Pave,315000,Crawfor,1932,8,8,Gd
192,7472,Pave,184000,NAmes,1972,7,9,Gd
193,9017,Pave,192000,CollgCr,1999,7,5,Gd
194,2522,Pave,130000,Edwards,2004,7,5,Gd
195,7180,Pave,127000,CollgCr,1972,5,7,TA
196,2280,Pave,148500,NPkVill,1976,6,6,TA
197,9416,Pave,311872,Somerst,2007,7,5,Ex
198,25419,Pave,235000,NAmes,1918,8,4,Gd
199,5520,Pave,104000,OldTown,1912,6,6,TA
200,9591,Pave,274900,NridgHt,2004,8,5,Ex
201,8546,Pave,140000,Edwards,2003,4,5,TA
202,10125,Pave,171500,Mitchel,1977,6,6,TA
203,7000,Pave,112000,OldTown,1924,6,6,TA
204,4438,Pave,149000,CollgCr,2004,6,5,Gd
205,3500,Pave,110000,OldTown,1947,5,7,TA
206,11851,Pave,180500,Gilbert,1990,7,5,TA
207,13673,Pave,143900,Sawyer,1962,5,5,TA
208,12493,Pave,141000,NAmes,1960,4,5,TA
209,14364,Pave,277000,SawyerW,1988,7,5,TA
210,8250,Pave,145000,NAmes,1964,6,7,TA
211,5604,Pave,98000,Edwards,1925,5,6,TA
212,10420,Pave,186000,Edwards,2009,6,5,Gd
213,8640,Pave,252678,Somerst,2009,7,5,Gd
214,13568,Pave,156000,CollgCr,1995,5,5,TA
215,10900,Pave,161750,CollgCr,1977,6,7,TA
216,10011,Pave,134450,NAmes,1957,5,6,Gd
217,8450,Pave,210000,CollgCr,2004,7,5,Gd
218,9906,Pave,107000,OldTown,1925,4,4,TA
219,15660,Pave,311500,Crawfor,1939,7,9,Gd
220,3010,Pave,167240,Blmngtn,2005,7,5,Gd
221,8990,Pave,204900,CollgCr,2006,7,5,Gd
222,8068,Pave,200000,Gilbert,2002,6,5,Gd
223,11475,Pave,179900,NWAmes,1975,6,6,TA
224,10500,Pave,97000,NAmes,1971,4,6,TA
225,13472,Pave,386250,NridgHt,2003,10,5,Ex
226,1680,Pave,112000,BrDale,1971,5,5,TA
227,9950,Pave,290000,NoRidge,1995,7,5,Gd
228,1869,Pave,106000,BrDale,1970,6,6,TA
229,8521,Pave,125000,Sawyer,1967,5,5,TA
230,3182,Pave,192500,Blmngtn,2005,7,5,Gd
231,8760,Pave,148000,NAmes,1959,6,6,TA
232,15138,Pave,403000,NoRidge,1995,8,5,Ex
233,1680,Pave,94500,BrDale,1972,6,5,TA
234,10650,Pave,128200,CollgCr,1976,5,6,TA
235,7851,Pave,216500,Gilbert,2002,6,5,Gd
236,1680,Pave,89500,BrDale,1971,6,3,TA
237,8773,Pave,185500,CollgCr,2004,7,5,Gd
238,9453,Pave,194500,SawyerW,1993,7,7,Gd
239,12030,Pave,318000,NridgHt,2007,8,5,Gd
240,8741,Pave,113000,Edwards,1945,6,4,TA
241,9000,Pave,262500,Somerst,2008,8,5,Gd
242,3880,Pave,110500,OldTown,1945,5,9,Gd
243,5000,Pave,79000,OldTown,1900,5,4,TA
244,10762,Pave,120000,SawyerW,1980,6,6,TA
245,8880,Pave,205000,SawyerW,1994,7,5,Gd
246,10400,Pave,241500,NWAmes,1988,7,5,TA
247,9142,Pave,137000,OldTown,1910,6,8,Fa
248,11310,Pave,140000,NAmes,1954,6,5,TA
249,11317,Pave,180000,CollgCr,2003,7,5,Gd
250,159000,Pave,277000,ClearCr,1958,6,7,Gd
251,5350,Pave,76500,BrkSide,1940,3,2,Fa
252,4750,Pave,235000,Crawfor,2006,8,5,Gd
253,8366,Pave,173000,SawyerW,2004,6,5,Gd
254,9350,Pave,158000,NAmes,1964,6,7,Gd
255,8400,Pave,145000,NAmes,1957,5,6,TA
256,8738,Pave,230000,Gilbert,1999,7,5,Gd
257,8791,Pave,207500,Somerst,2003,6,5,Gd
258,8814,Pave,220000,CollgCr,2006,7,5,Gd
259,12435,Pave,231500,CollgCr,2001,7,5,Gd
260,12702,Pave,97000,OldTown,1956,5,5,TA
261,19296,Pave,176000,NAmes,1962,6,5,TA
262,9588,Pave,276000,CollgCr,2007,8,5,Ex
263,8471,Pave,151000,Sawyer,1977,6,7,TA
264,5500,Pave,130000,OldTown,1929,5,7,TA
265,5232,Pave,73000,OldTown,1925,5,5,TA
266,12090,Pave,175500,NWAmes,1981,6,6,Gd
267,11207,Pave,185000,Gilbert,1997,6,5,TA
268,8400,Pave,179500,SWISU,1939,5,8,Gd
269,6900,Pave,120500,IDOTRR,1940,5,6,TA
270,7917,Pave,148000,Edwards,1976,6,7,TA
271,10728,Pave,266000,Somerst,2006,8,5,Gd
272,39104,Pave,241500,ClearCr,1954,7,7,TA
273,11764,Pave,290000,NoRidge,1999,8,7,Gd
274,9600,Pave,139000,NAmes,1958,6,6,TA
275,8314,Pave,124500,Mitchel,1982,5,7,TA
276,7264,Pave,205000,BrkSide,1925,7,7,Ex
277,9196,Pave,201000,Mitchel,2003,7,5,Gd
278,19138,Pave,141000,Gilbert,1951,4,5,TA
279,14450,Pave,415298,NridgHt,2006,9,5,Ex
280,10005,Pave,192000,ClearCr,1977,7,5,TA
281,11287,Pave,228500,SawyerW,1989,7,6,Gd
282,7200,Pave,185000,Somerst,2006,6,5,Gd
283,5063,Pave,207500,NridgHt,2007,7,5,Gd
284,9612,Pave,244600,Somerst,2008,8,5,Gd
285,8012,Pave,179200,SawyerW,1992,6,5,Gd
286,4251,Pave,164700,Somerst,2006,7,5,Gd
287,9786,Pave,159000,NAmes,1962,6,7,Gd
288,8125,Pave,88000,NAmes,1971,4,4,TA
289,9819,Pave,122000,Sawyer,1967,5,5,TA
290,8730,Pave,153575,BrkSide,1915,6,7,TA
291,15611,Pave,233230,CollgCr,2006,8,5,Gd
292,5687,Pave,135900,SWISU,1912,5,6,Fa
293,11409,Pave,131000,Edwards,1949,5,4,TA
294,16659,Pave,235000,NWAmes,1977,7,7,Gd
295,9600,Pave,167000,NAmes,1953,6,5,TA
296,7937,Pave,142500,Mitchel,1984,6,6,TA
297,13710,Pave,152000,IDOTRR,1950,5,5,TA
298,7399,Pave,239000,Somerst,1997,7,5,Gd
299,11700,Pave,175000,NWAmes,1968,6,6,TA
300,14000,Pave,158500,Crawfor,1950,6,8,Gd
301,15750,Pave,157000,Crawfor,1953,5,5,TA
302,16226,Pave,267000,CollgCr,1998,8,5,Gd
303,13704,Pave,205000,CollgCr,2001,7,5,Gd
304,9800,Pave,149900,CollgCr,1972,5,7,TA
305,18386,Pave,295000,OldTown,1880,7,9,Gd
306,10386,Pave,305900,CollgCr,2004,8,5,Gd
307,13474,Pave,225000,SawyerW,1990,7,5,Gd
308,7920,Pave,89500,IDOTRR,1920,6,7,Fa
309,12342,Pave,82500,Edwards,1940,4,5,TA
310,12378,Pave,360000,NridgHt,2003,9,5,Ex
311,7685,Pave,165600,Gilbert,1993,6,5,Gd
312,8000,Pave,132000,NAmes,1948,6,6,TA
313,7800,Pave,119900,OldTown,1939,5,7,TA
314,215245,Pave,375000,Timber,1965,7,5,TA
315,9600,Pave,178000,OldTown,1925,7,7,Ex
316,7795,Pave,188500,Gilbert,2004,7,5,Gd
317,13005,Pave,260000,NWAmes,1980,7,7,Ex
318,9000,Pave,270000,Somerst,2006,8,5,Gd
319,9900,Pave,260000,NoRidge,1993,7,5,Gd
320,14115,Pave,187500,NWAmes,1980,7,5,TA
321,16259,Pave,342643,NridgHt,2006,9,5,Gd
322,12099,Pave,354000,NridgHt,2004,8,5,Gd
323,10380,Pave,301000,SawyerW,1986,7,5,Gd
324,5820,Pave,126175,OldTown,1955,3,8,TA
325,11275,Pave,242000,NAmes,1967,7,7,Gd
326,5000,Pave,87000,IDOTRR,1941,5,6,TA
327,10846,Pave,324000,Veenker,1993,8,5,Gd
328,11600,Pave,145250,NAmes,1960,6,5,TA
329,11888,Pave,214500,BrkSide,1916,6,6,Gd
330,6402,Pave,78000,IDOTRR,1920,5,5,TA
331,10624,Pave,119000,NAmes,1964,5,4,TA
332,8176,Pave,139000,NAmes,1958,5,6,TA
333,10655,Pave,284000,NridgHt,2003,8,5,Gd
334,8198,Pave,207000,NridgHt,2004,7,5,Gd
335,9042,Pave,192000,Gilbert,1998,6,5,TA
336,164660,Grvl,228950,Timber,1965,5,6,TA
337,14157,Pave,377426,StoneBr,2005,9,5,Gd
338,9135,Pave,214000,CollgCr,2002,7,5,Gd
339,14145,Pave,202500,NWAmes,1984,7,7,Gd
340,12400,Pave,155000,NAmes,1958,6,7,TA
341,14191,Pave,202900,Timber,2002,8,5,Gd
342,8400,Pave,82000,SawyerW,1950,4,4,TA
343,8544,Pave,87500,NAmes,1949,3,4,TA
344,8849,Pave,266000,NridgHt,2005,9,5,Ex
345,2592,Pave,85000,MeadowV,1976,5,3,TA
346,6435,Pave,140200,BrkSide,1939,6,5,Fa
347,12772,Pave,151500,NAmes,1960,6,8,TA
348,17600,Pave,157500,NAmes,1960,6,5,TA
349,2448,Pave,154000,NridgHt,2003,7,5,Gd
350,20431,Pave,437154,NridgHt,2005,9,5,Ex
351,7820,Pave,318061,NridgHt,2007,9,5,Ex
352,5271,Pave,190000,ClearCr,1986,7,5,Gd
353,9084,Pave,95000,Edwards,1941,5,6,TA
354,8520,Pave,105900,OldTown,1928,6,8,TA
355,8400,Pave,140000,SWISU,1940,6,5,TA
356,11249,Pave,177500,CollgCr,1995,6,5,Gd
357,9248,Pave,173000,Gilbert,1992,6,6,Gd
358,4224,Pave,134000,MeadowV,1976,5,5,TA
359,6930,Pave,130000,ClearCr,1958,5,4,Gd
360,12011,Pave,280000,NoRidge,1998,8,5,Gd
361,7540,Pave,156000,Mitchel,1978,6,6,TA
362,9144,Pave,145000,BrkSide,1940,5,5,TA
363,7301,Pave,198500,Edwards,2003,7,5,Gd
364,1680,Pave,118000,BrDale,1972,6,8,Gd
365,18800,Pave,190000,NWAmes,1976,6,5,TA
366,10690,Pave,147000,IDOTRR,1920,5,7,TA
367,9500,Pave,159000,NAmes,1963,6,5,TA
368,9150,Pave,165000,NAmes,1962,6,5,TA
369,7800,Pave,132000,NAmes,1954,5,6,TA
370,9830,Pave,162000,NAmes,1959,5,7,Gd
371,8121,Pave,172400,Gilbert,2000,6,5,TA
372,17120,Pave,134432,ClearCr,1959,4,4,TA
373,7175,Pave,125000,SawyerW,1984,6,5,TA
374,10634,Pave,123000,NAmes,1953,5,6,TA
375,8200,Pave,219500,CollgCr,2003,7,5,Gd
376,10020,Pave,61000,Edwards,1922,1,1,Fa
377,8846,Pave,148000,CollgCr,1996,5,5,TA
378,11143,Pave,340000,Somerst,2004,8,5,Gd
379,11394,Pave,394432,StoneBr,2010,9,2,Ex
380,8123,Pave,179000,Gilbert,2000,6,5,TA
381,5000,Pave,127000,SWISU,1924,5,6,Gd
382,7200,Pave,187750,Somerst,2006,7,5,Gd
383,9245,Pave,213500,CollgCr,2006,7,5,Gd
384,9000,Pave,76000,SawyerW,1928,6,3,TA
385,53107,Pave,240000,ClearCr,1992,6,5,Gd
386,3182,Pave,192000,Blmngtn,2004,8,5,Gd
387,8410,Pave,81000,Edwards,1910,5,3,TA
388,7200,Pave,125000,Edwards,1976,6,6,TA
389,9382,Pave,191000,CollgCr,1999,7,5,Gd
390,12474,Pave,426000,NridgHt,2007,10,5,Ex
391,8405,Pave,119000,Edwards,1900,5,8,TA
392,12209,Pave,215000,Mitchel,2001,6,5,Gd
393,8339,Pave,106500,NAmes,1959,5,7,TA
394,7446,Pave,100000,BrkSide,1941,4,5,TA
395,10134,Pave,109000,OldTown,1940,5,6,TA
396,9571,Pave,129000,Edwards,1956,5,6,TA
397,7200,Pave,123000,CollgCr,1972,5,5,TA
398,7590,Pave,169500,NAmes,1962,5,5,TA
399,8967,Pave,67000,IDOTRR,1920,5,2,TA
400,8125,Pave,241000,Somerst,2006,7,5,Gd
401,14963,Pave,245500,Veenker,1996,8,5,Ex
402,8767,Pave,164990,CollgCr,2005,7,5,Gd
403,10200,Pave,108000,Sawyer,1940,5,8,TA
404,12090,Pave,258000,NoRidge,1998,8,5,Gd
405,10364,Pave,168000,Gilbert,1995,6,5,TA
406,9991,Pave,150000,Sawyer,1976,4,4,TA
407,10480,Pave,115000,SWISU,1936,6,5,TA
408,15576,Pave,177000,Crawfor,1915,6,7,TA
409,14154,Pave,280000,NridgHt,2006,7,5,Gd
410,10800,Pave,339750,Somerst,2007,8,5,Ex
411,9571,Pave,60000,Edwards,1958,5,3,TA
412,34650,Pave,145000,Gilbert,1955,5,5,TA
413,4403,Pave,222000,Somerst,2009,7,5,Gd
414,8960,Pave,115000,OldTown,1927,5,6,TA
415,11228,Pave,228000,SawyerW,1993,7,5,Gd
416,8899,Pave,181134,Gilbert,2007,7,5,Gd
417,7844,Pave,149500,Sawyer,1978,6,7,TA
418,22420,Pave,239000,Crawfor,1918,6,6,TA
419,8160,Pave,126000,Edwards,1940,5,6,TA
420,8450,Pave,142000,NAmes,1968,5,6,TA
421,7060,Pave,206300,Mitchel,1997,7,5,TA
422,16635,Pave,215000,NWAmes,1977,6,7,Gd
423,21750,Pave,113000,Mitchel,1954,5,5,TA
424,9200,Pave,315000,NoRidge,1998,8,5,Gd
425,9000,Pave,139000,NAmes,1956,6,5,TA
426,3378,Pave,135000,OldTown,1946,7,8,TA
427,12800,Pave,275000,SawyerW,1989,7,5,Gd
428,8593,Pave,109008,NAmes,1957,4,6,TA
429,6762,Pave,195400,CollgCr,2007,7,5,Gd
430,11457,Pave,175000,Timber,1988,6,5,Gd
431,1680,Pave,85400,BrDale,1971,6,5,TA
432,5586,Pave,79900,OldTown,1920,6,7,TA
433,1920,Pave,122500,BrDale,1971,5,5,TA
434,10839,Pave,181000,Gilbert,1997,6,5,TA
435,1890,Pave,81000,MeadowV,1972,4,7,TA
436,10667,Pave,212000,CollgCr,1996,7,6,Gd
437,4400,Pave,116000,OldTown,1920,6,8,TA
438,6000,Pave,119000,BrkSide,1926,6,7,TA
439,4280,Pave,90350,Crawfor,1913,5,6,Gd
440,12354,Pave,110000,Edwards,1920,6,8,Gd
441,15431,Pave,555000,NridgHt,2008,10,5,Ex
442,12108,Pave,118000,Edwards,1955,4,4,Fa
443,6240,Pave,162900,BrkSide,1930,5,7,TA
444,3922,Pave,172500,Blmngtn,2006,7,5,Gd
445,8750,Pave,210000,CollgCr,1994,7,5,Gd
446,9855,Pave,127500,Edwards,1956,6,5,TA
447,16492,Pave,190000,NAmes,1966,6,6,Gd
448,11214,Pave,199900,Gilbert,1998,7,5,Gd
449,8600,Pave,119500,IDOTRR,1937,6,6,TA
450,6000,Pave,120000,OldTown,1948,3,7,TA
451,5684,Pave,110000,OldTown,1930,6,8,Gd
452,70761,Pave,280000,ClearCr,1975,7,5,Gd
453,9303,Pave,204000,Timber,1996,6,5,TA
454,9000,Pave,210000,Somerst,2008,8,5,Gd
455,9297,Pave,188000,Mitchel,1976,5,5,TA
456,9600,Pave,175500,NWAmes,1973,7,6,TA
457,4571,Pave,98000,OldTown,1916,5,5,TA
458,53227,Pave,256000,ClearCr,1954,4,6,Gd
459,5100,Pave,161000,OldTown,1925,8,7,Gd
460,7015,Pave,110000,BrkSide,1950,5,4,Gd
461,8004,Pave,263435,Somerst,2009,8,5,TA
462,7200,Pave,155000,SWISU,1936,7,9,Gd
463,8281,Pave,62383,Sawyer,1965,5,5,TA
464,11988,Pave,188700,Crawfor,1934,6,7,TA
465,8430,Pave,124000,CollgCr,1978,5,5,TA
466,3072,Pave,178740,Blmngtn,2004,7,5,Gd
467,10628,Pave,167000,NAmes,1970,7,5,TA
468,9480,Pave,146500,NAmes,1942,5,7,Gd
469,11428,Pave,250000,NridgHt,2006,8,5,Gd
470,9291,Pave,187000,SawyerW,1993,6,5,Gd
471,6820,Pave,212000,StoneBr,1985,8,5,Gd
472,11952,Pave,190000,NWAmes,1977,7,6,TA
473,3675,Pave,148000,Edwards,2005,6,5,TA
474,14977,Pave,440000,NridgHt,2006,8,5,Gd
475,5330,Pave,251000,StoneBr,2000,8,5,Ex
476,8480,Pave,132500,Sawyer,1963,5,6,TA
477,13125,Pave,208900,CollgCr,1997,6,5,Gd
478,13693,Pave,380000,NridgHt,2006,9,5,Ex
479,10637,Pave,297000,CollgCr,2007,8,5,Gd
480,5925,Pave,89471,OldTown,1937,4,7,TA
481,16033,Pave,326000,NridgHt,2004,9,5,Gd
482,11846,Pave,374000,NridgHt,2003,9,5,Ex
483,2500,Pave,155000,OldTown,1915,7,8,Ex
484,4500,Pave,164000,Mitchel,1998,6,5,TA
485,7758,Pave,132500,Sawyer,1962,5,7,Gd
486,9600,Pave,147000,NAmes,1950,5,7,Gd
487,10289,Pave,156000,NAmes,1965,5,7,TA
488,12243,Pave,175000,NWAmes,1971,5,6,TA
489,10800,Pave,160000,OldTown,1900,5,4,TA
490,1526,Pave,86000,MeadowV,1970,4,8,Gd
491,2665,Pave,115000,MeadowV,1976,5,6,TA
492,9490,Pave,133000,NAmes,1941,6,7,Fa
493,15578,Pave,172785,Gilbert,2006,6,5,TA
494,7931,Pave,155000,NAmes,1960,5,6,TA
495,5784,Pave,91300,OldTown,1938,5,8,TA
496,7879,Pave,34900,IDOTRR,1920,4,5,TA
497,12692,Pave,430000,NoRidge,1992,8,5,Gd
498,9120,Pave,184000,BrkSide,1925,7,6,TA
499,7800,Pave,130000,Sawyer,1967,5,7,Gd
500,7535,Pave,120000,NAmes,1958,5,7,TA
501,1890,Pave,113000,BrDale,1973,6,5,TA
502,9803,Pave,226700,Somerst,2005,7,5,Gd
503,9170,Pave,140000,Edwards,1965,5,7,TA
504,15602,Pave,289000,Crawfor,1959,7,8,TA
505,2308,Pave,147000,NPkVill,1974,6,5,TA
506,7596,Pave,124500,OldTown,1952,5,5,TA
507,9554,Pave,215000,SawyerW,1993,8,5,Gd
508,7862,Pave,208300,Somerst,2009,6,5,Gd
509,9600,Pave,161000,OldTown,1928,7,9,Gd
510,9600,Pave,124500,NAmes,1959,5,6,TA
511,14559,Pave,164900,NAmes,1951,5,7,TA
512,6792,Pave,202665,NridgHt,2005,7,5,Gd
513,9100,Pave,129900,NAmes,1958,5,5,TA
514,9187,Pave,134000,Mitchel,1983,6,5,TA
515,10594,Pave,96500,Crawfor,1926,5,5,TA
516,12220,Pave,402861,NridgHt,2009,10,5,Ex
517,10448,Pave,158000,NWAmes,1972,6,6,TA
518,10208,Pave,265000,NoRidge,1996,7,5,Gd
519,9531,Pave,211000,CollgCr,1998,6,5,TA
520,10918,Pave,234000,Crawfor,1926,7,9,Gd
521,10800,Pave,106250,OldTown,1900,4,7,TA
522,11988,Pave,150000,NAmes,1957,6,6,TA
523,5000,Pave,159000,BrkSide,1947,6,7,TA
524,40094,Pave,184750,Edwards,2007,10,5,Ex
525,11787,Pave,315750,NoRidge,1996,7,5,Gd
526,7500,Pave,176000,Somerst,2005,7,5,Gd
527,13300,Pave,132000,NAmes,1956,5,7,TA
528,14948,Pave,446261,NridgHt,2008,9,5,Ex
529,9098,Pave,86000,Edwards,1920,4,7,TA
530,32668,Pave,200624,Crawfor,1957,6,3,TA
531,10200,Pave,175000,Timber,1988,6,5,Gd
532,6155,Pave,128000,BrkSide,1920,6,8,TA
533,7200,Pave,107500,NAmes,1955,5,7,TA
534,5000,Pave,39300,BrkSide,1946,1,3,Fa
535,9056,Pave,178000,Gilbert,2004,8,5,Gd
536,7000,Pave,107500,Edwards,1910,5,7,TA
537,8924,Pave,188000,CollgCr,1998,7,5,Gd
538,12735,Pave,111250,NAmes,1972,4,5,TA
539,11553,Pave,158000,Sawyer,1968,5,5,TA
540,11423,Pave,272000,CollgCr,2001,8,5,Gd
541,14601,Pave,315000,Timber,2006,9,5,Ex
542,11000,Pave,248000,NoRidge,2000,8,5,Gd
543,10140,Pave,213250,NWAmes,1998,7,5,Gd
544,4058,Pave,133000,NAmes,1998,7,5,TA
545,17104,Pave,179665,Gilbert,2006,7,5,Gd
546,13837,Pave,229000,NWAmes,1988,7,5,Gd
547,8737,Pave,210000,BrkSide,1923,6,7,TA
548,7244,Pave,129500,Mitchel,1970,5,7,TA
549,8235,Pave,125000,OldTown,1955,5,7,TA
550,9375,Pave,263000,Somerst,2003,7,5,Gd
551,4043,Pave,140000,NPkVill,1977,6,6,TA
552,6000,Pave,112500,OldTown,1957,5,6,TA
553,11146,Pave,255500,NridgHt,2006,8,5,Gd
554,8777,Pave,108000,Edwards,1949,4,5,Gd
555,10625,Pave,284000,NridgHt,2003,7,5,Gd
